Start,Month,Energy,Month_Name,Month-Year
2017,1,1131.0,January,January-2017
2017,2,1181.0,February,February-2017
2017,3,1223.0,March,March-2017
2017,4,1185.0,April,April-2017
2017,5,1269.0,May,May-2017
2017,6,1249.0,June,June-2017
2017,7,1280.0,July,July-2017
2017,8,781.0,August,August-2017
2017,9,767.0,September,September-2017
2017,10,780.0,October,October-2017
2017,11,772.0,November,November-2017
2017,12,752.0,December,December-2017
2018,1,43.0,January,January-2018
2018,2,66.0,February,February-2018
2018,3,68.0,March,March-2018
2018,4,93.0,April,April-2018
2018,5,115.0,May,May-2018
2018,6,116.0,June,June-2018
2018,7,99.0,July,July-2018
2018,8,118.0,August,August-2018
2018,9,109.0,September,September-2018
2018,10,139.0,October,October-2018
2018,11,140.0,November,November-2018
2018,12,190.0,December,December-2018
2019,1,579.0,January,January-2019
2019,2,563.0,February,February-2019
2019,3,682.0,March,March-2019
2019,4,778.0,April,April-2019
2019,5,802.0,May,May-2019
2019,6,845.0,June,June-2019
2019,7,826.0,July,July-2019
2019,8,709.0,August,August-2019
2019,9,898.0,September,September-2019
2019,10,889.0,October,October-2019
2019,11,963.0,November,November-2019
2019,12,860.0,December,December-2019
